,vulnerable,infected,symptomatic,positive,recovered,deceased
99,0.5162325,0.00408625,0.0064225,0.00864,0.45624875,0.00837
94,0.51559125,0.00388125,0.0062475,0.0083175,0.45757375,0.00838875
89,0.514935,0.00377875,0.00606375,0.00803625,0.458775,0.00841125
103,0.51436,0.00360125,0.00585375,0.00776875,0.45996875,0.0084475
95,0.51376125,0.003525,0.0056525,0.00748625,0.46109625,0.00847875
88,0.51319125,0.003455,0.00543875,0.00720625,0.46221,0.00849875
100,0.5126725,0.0033,0.0052375,0.006905,0.46336,0.008525
90,0.512135,0.00325375,0.00505625,0.00666625,0.46433625,0.0085525
102,0.51160625,0.00316875,0.00489125,0.0063875,0.465375,0.00857125
91,0.5111175,0.003,0.00473625,0.00619125,0.4663625,0.0085925
92,0.510635,0.00294,0.00456625,0.00598875,0.4672675,0.0086025
101,0.51018,0.00280625,0.0044225,0.00581,0.46816125,0.00862
97,0.5097525,0.0026675,0.00431875,0.005575,0.46905,0.00863625
87,0.50931875,0.0025975,0.00412625,0.00537375,0.4699325,0.00865125
98,0.508885,0.00257,0.00392125,0.0051775,0.47078,0.00866625
115,0.50846375,0.0025025,0.0037775,0.00500625,0.4715575,0.0086925
106,0.50809125,0.00240875,0.00364375,0.00481625,0.4723325,0.0087075
118,0.5076925,0.00232875,0.00349125,0.00467375,0.47309625,0.0087175
105,0.50735,0.00223,0.00337125,0.00454,0.47377625,0.0087325
109,0.5069625,0.00217125,0.0032875,0.004405,0.47443,0.00874375
113,0.506645,0.0020525,0.0031725,0.00425125,0.47512375,0.008755
117,0.5063075,0.0019675,0.0030925,0.0041,0.47576375,0.00876875
108,0.50599375,0.00191125,0.0029675,0.003925,0.47642375,0.00877875
110,0.5056775,0.00183625,0.00284625,0.0038125,0.47703,0.0087975
107,0.50539125,0.00178,0.00273125,0.003705,0.47758625,0.00880625
116,0.505115,0.00170875,0.002605,0.003595,0.47816,0.00881625
111,0.5048525,0.0016275,0.002555,0.00342875,0.4787075,0.00882875
104,0.50458625,0.0015875,0.00250625,0.003295,0.47918375,0.00884125
112,0.50430375,0.00155375,0.0024,0.0031825,0.4797075,0.0088525
114,0.504105,0.0013975,0.00233875,0.0030875,0.4802075,0.00886375
129,0.5038575,0.00137125,0.00225875,0.00296875,0.48067625,0.0088675
122,0.503625,0.0013075,0.0021775,0.00286625,0.48114625,0.0088775
135,0.5033875,0.00129875,0.00209875,0.0027325,0.481595,0.0088875
131,0.50318,0.00123875,0.0020275,0.0026325,0.4820225,0.00889875
127,0.5029825,0.00119,0.001965,0.00254875,0.48240625,0.0089075
132,0.5027775,0.0012,0.0018475,0.002435,0.48282375,0.00891625
133,0.50259,0.00114875,0.00176625,0.00235125,0.48321625,0.0089275
121,0.5024125,0.00108625,0.00171,0.00226875,0.48358375,0.00893875
123,0.502205,0.00107875,0.00162375,0.0021975,0.48395,0.008945
128,0.50200375,0.0010875,0.00155625,0.00210625,0.48429375,0.0089525
119,0.50183375,0.00101625,0.00155125,0.002035,0.4846075,0.00895625
134,0.501675,0.00098875,0.00147875,0.0019525,0.4849425,0.0089625
130,0.50150625,0.000955,0.001455,0.00187,0.485245,0.00896875
126,0.5013325,0.00094,0.001435,0.00179875,0.48551625,0.0089775
120,0.50117,0.00090625,0.00140125,0.00174375,0.4857975,0.00898125
125,0.50101125,0.00090125,0.00133375,0.0016925,0.48607,0.00899125
124,0.5008675,0.00088625,0.001245,0.00164875,0.48635625,0.00899625
146,0.50073625,0.00084625,0.001205,0.0015775,0.48663375,0.00900125
143,0.50061875,0.00079625,0.00117,0.0015075,0.486905,0.0090025
147,0.500475,0.00079125,0.0011275,0.00145375,0.48714625,0.00900625
140,0.5003625,0.00074625,0.001105,0.00141,0.487365,0.00901125
137,0.5002575,0.0007025,0.001055,0.00139375,0.48757875,0.0090125
145,0.50015375,0.00068875,0.0010225,0.00133,0.48779125,0.00901375
149,0.5000425,0.00069,0.00098875,0.001295,0.487965,0.00901875
